company,title,count,title_norm,pred_dept,pred_method,pred_evidence,manual_department
Oracle,Senior Applications Engineer,75,senior applications engineer,Technology,keyword,engineer, Technology
Bank of the Sierra,Operations Manager,23,operations manager,Operations,keyword,operations, Operations
JLL,Research Analyst,25,research analyst,Research,keyword,research, Research
Sanofi,Financial Controller,15,financial controller,Finance/Accounting,keyword,controller, Finance/Accounting
Prudential Financial,Senior Investment Operations Specialist,13,senior investment operations specialist,Operations,keyword,operations, Operations
Union Bank,Senior Underwriter,14,senior underwriter,Investment Banking,keyword,underwriter, Investment Banking
University of Colorado Boulder,Research Assistant,17,research assistant,Research,keyword,research, Research
TD,AML Compliance Officer,12,aml compliance officer,Compliance/Legal,phrase,aml,Compliance/Legal
Goldman Sachs,Legal Counsel,26,legal counsel,Compliance/Legal,keyword,legal,Compliance/Legal
U.S. Bank,Product Manager,72,product manager,Product/Strategy,keyword,product,Product/Strategy
GE,"Associate, Corporate Audit Staff",26,associate corporate audit staff,Finance/Accounting,keyword,audit,Finance/Accounting
UCLA,Research Assistant,42,research assistant,Research,keyword,research,Research
University of Illinois at Chicago,Undergraduate Research Assistant,21,undergraduate research assistant,Research,keyword,research,Research
Chubb,Operations Analyst,13,operations analyst,Operations,keyword,operations,Operations
Deloitte,Cyber Risk Consultant,39,cyber risk consultant,Risk,keyword,risk,Risk
FTB Advisors,Financial Advisor,14,financial advisor,Wealth Management,phrase,financial advisor,
Citi,Treasury Analyst,90,treasury analyst,Treasury,keyword,treasury,
Bessemer Trust,Associate Client Advisor,124,associate client advisor,Wealth Management,keyword,advisor,
Allstate,Senior Product Consultant,26,senior product consultant,Product/Strategy,keyword,product,Product/Strategy
Capital One Auto Finance,Risk Specialist,30,risk specialist,Risk,keyword,risk,Risk
Mars,Sales Officer,40,sales officer,Sales & Trading,keyword,sales,
Citi,Collector 2,37,collector 2,Unknown,none,,
USAA,"Director, Digital Product Management",13,director digital product management,Product/Strategy,keyword,product,Product/Strategy
Farmers Insurance,File Clerk,17,file clerk,Unknown,none,,
Citi,Risk Reporting Analyst,13,risk reporting analyst,Risk,keyword,risk,Risk
PNC,Treasury Management Analyst,89,treasury management analyst,Treasury,keyword,treasury,Treasury
Cognizant,Senior Process Executive,270,senior process executive,Unknown,none,,
BNP Paribas,Chargée d'Affaires Cash Management,44,charg e d affaires cash management,Treasury,keyword,cash,
"Indian institute of management, bangalore",Research assistant,14,research assistant,Research,keyword,research,Research
Charles River Development,Product Specialist,24,product specialist,Product/Strategy,keyword,product,Product/Strategy
Microsoft,Account Manager,41,account manager,Unknown,none,,
Universidad de Los Andes,Research Assistant,13,research assistant,Research,keyword,research,Research
Citizens Bank,IT Operations Analyst,15,it operations analyst,Operations,keyword,operations,Operations
USAA,Sales Manager,18,sales manager,Sales & Trading,keyword,sales,
University of Glasgow,Research Assistant,18,research assistant,Research,keyword,research,Research
TEB,Branch Manager,21,branch manager,Unknown,none,,
American Express,Senior Product Manager,162,senior product manager,Product/Strategy,keyword,product,Product/Strategy
Wells Fargo Home Mortgage,Underwriter 4,20,underwriter 4,Investment Banking,keyword,underwriter,
U.S. Bank,Risk Manager,62,risk manager,Risk,keyword,risk,Risk
Citi,Legal Intern,56,legal intern,Compliance/Legal,keyword,legal,
J.P. Morgan,Research Assistant,22,research assistant,Research,keyword,research,Research
State Bank of India,Asst. Manager (Systems),13,asst manager systems,Technology,keyword,systems,
Citi,Credit & Portfolio Risk Analyst,13,credit & portfolio risk analyst,Risk,keyword,risk,Risk
Fastenal Company,Outside Sales Representative,59,outside sales representative,Sales & Trading,keyword,sales,
State Farm ®,CCC Sales Rep,17,ccc sales rep,Sales & Trading,keyword,sales,
Pfizer,Therapeutic Specialty Representative,13,therapeutic specialty representative,Unknown,none,,
American Express,Analista de Back Office,23,analista de back office,Operations,phrase,back office,Operations
Goldman Sachs,Private Wealth Management Associate,18,private wealth management associate,Wealth Management,keyword,wealth,
Deutsche Bank,Regulatory Reporting,14,regulatory reporting,Compliance/Legal,keyword,regulatory,
KPMG,Senior Tax Accountant,16,senior tax accountant,Finance/Accounting,keyword,tax,Finance/Accounting
HSBC,Recruiting Specialist,18,recruiting specialist,HR,keyword,recruiting,
GCA,Investment Banking Analyst,15,investment banking analyst,Investment Banking,phrase,investment banking,
East West Bank,Treasury Analyst,14,treasury analyst,Treasury,keyword,treasury,
JP Morgan,Recruiter,13,recruiter,HR,keyword,recruiter,
Goldman Sachs,"Associate, Private Wealth Management",44,associate private wealth management,Wealth Management,keyword,wealth,
GE Capital,Sales,111,sales,Sales & Trading,keyword,sales,
Barton Associates Inc.,Recruiter,13,recruiter,HR,keyword,recruiter,
MassMutual Financial Group,Compliance Consultant,20,compliance consultant,Compliance/Legal,phrase,compliance,
Cellular Sales,Sales Representative,73,sales representative,Sales & Trading,keyword,sales,
A Place for Mom,Senior Living Advisor,21,senior living advisor,Wealth Management,keyword,advisor,
BNY Mellon,Software Engineer,126,software engineer,Technology,phrase,software engineer,
Deloitte & Touche,Tax Consultant,22,tax consultant,Finance/Accounting,keyword,tax,Finance/Accounting
Bank of America,Senior Audit Consultant,28,senior audit consultant,Finance/Accounting,keyword,audit,Finance/Accounting
Deutsche Bank,Client Services Account Manager,13,client services account manager,Unknown,none,,
Citigroup,Trader,58,trader,Sales & Trading,keyword,trader,
PricewaterhouseCoopers,Tax Senior Associate,16,tax senior associate,Finance/Accounting,keyword,tax,Finance/Accounting
Capital Group,Research Associate,19,research associate,Research,keyword,research,Research
HSBC,UNDERWRITER,126,underwriter,Investment Banking,keyword,underwriter,
UBS,Human Resources Specialist,22,human resources specialist,HR,keyword,"human,resources",
Wells Fargo,Treasury Management Client Service Officer,14,treasury management client service officer,Treasury,keyword,treasury,Treasury
Fiserv,Program Manager,44,program manager,Unknown,none,,
PNC,Investment Banking Summer Analyst,34,investment banking summer analyst,Investment Banking,phrase,investment banking,
UBS,Junior Analyst,28,junior analyst,Unknown,none,,
Citi,Cash Officer,27,cash officer,Treasury,keyword,cash,
Freddie Mac,Business Analyst,79,business analyst,Unknown,none,,
Thomas Cook,Travel Consultant,43,travel consultant,Unknown,none,,
JPMorgan Chase & Co.,VP Software Engineering,42,vp software engineering,Technology,phrase,software engineer,
